Drawing,Date,1st ball,2nd ball,3rd ball,4th ball,5th ball,6th ball
361,2002-05-15,41,28,45,31,16,59
362,2002-05-18,37,20,33,46,7,56
363,2002-05-22,39,54,29,49,47,19
364,2002-05-25,59,44,29,5,51,57
365,2002-05-29,52,19,34,37,58,23
366,2002-06-01,6,4,51,7,21,15
367,2002-06-05,52,49,27,33,12,10
368,2002-06-08,13,50,38,32,44,29
369,2002-06-12,21,42,1,60,35,14
370,2002-06-15,51,42,4,54,1,40
371,2002-06-19,23,33,39,4,60,18
372,2002-06-22,24,17,46,57,16,39
373,2002-06-26,31,33,24,10,5,1
374,2002-06-29,54,2,26,5,44,16
375,2002-07-03,51,9,42,5,58,1
376,2002-07-06,25,13,10,43,35,48
377,2002-07-10,46,19,3,45,12,27
378,2002-07-13,55,45,48,41,5,38
379,2002-07-17,41,55,24,59,33,40
380,2002-07-20,47,22,13,30,31,57
381,2002-07-24,9,56,46,28,10,55
382,2002-07-27,54,38,53,31,37,34
383,2002-07-31,48,22,53,56,50,14
384,2002-08-03,28,50,47,24,40,52
385,2002-08-07,22,12,24,18,5,16
386,2002-08-10,39,54,43,36,17,35
387,2002-08-14,29,28,48,47,43,22
388,2002-08-17,52,48,53,58,23,36
389,2002-08-21,46,14,54,18,43,5
390,2002-08-24,7,22,34,12,38,53
391,2002-08-28,7,15,35,16,40,4
392,2002-08-31,49,47,39,31,15,23
393,2002-09-04,12,50,36,6,35,40
394,2002-09-07,15,49,42,5,45,35
395,2002-09-11,11,58,31,14,10,20
396,2002-09-14,47,18,6,45,34,42
397,2002-09-18,32,24,2,5,1,46
398,2002-09-21,28,7,16,37,36,22
399,2002-09-25,59,55,16,27,47,11
400,2002-09-28,29,59,13,10,54,28
401,2002-10-02,50,18,44,53,11,43
402,2002-10-05,27,43,58,5,16,56
403,2002-10-09,46,31,7,16,60,27
404,2002-10-12,24,38,58,1,40,28
405,2002-10-16,57,60,34,24,29,47
406,2002-10-19,47,32,48,12,38,2
407,2002-10-23,49,2,18,51,22,57
408,2002-10-26,49,44,33,28,56,14
409,2002-10-30,26,49,25,18,31,34
410,2002-11-02,31,55,36,24,8,38
411,2002-11-06,10,56,12,31,45,38
412,2002-11-09,45,5,14,21,59,12
413,2002-11-13,35,53,29,33,2,4
414,2002-11-16,35,26,58,52,45,16
